disease_id	DduftC	DgaG	D<soD	Dso>D
Q15914886	0	0	0	1
Q1592913	0	0	0	1
Q1593605	0	0	0	1
Q159701	13	1	13	2
Q15975183	1	0	0	1
Q1598200	0	0	0	1
Q16001099	0	0	0	1
Q16002876	0	0	0	2
Q16006998	0	0	2	2
Q160105	0	2	7	1
Q1601794	0	0	6	0
Q16039074	0	0	0	1
Q160649	0	0	3	1
Q160653	3	0	1	1
Q1607658	0	0	2	1
Q1607983	0	0	0	1
Q1609737	0	0	0	1
Q1609755	0	0	0	1
Q1615557	0	0	0	1
Q1617386	0	0	0	1
Q161790	0	2	0	1
Q161801	0	0	0	1
Q1618019	0	0	0	1
Q161964	0	0	0	1
Q1620193	0	0	6	2
Q1620444	0	0	0	1
Q1621830	1	0	2	1
Q1622407	0	0	0	1
Q162266	0	0	1	1
Q1623006	1	0	7	1
Q16242752	2	0	3	1
Q16244733	0	0	8	1
Q16252204	0	0	0	1
Q16256637	0	0	0	1
Q16257070	0	0	0	1
Q16258700	0	0	0	1
Q16258730	0	0	0	1
Q1627324	0	0	0	1
Q1627831	0	0	0	1
Q1628473	3	0	7	1
Q1629483	0	0	0	1
Q1632552	0	0	5	1
Q1634879	0	0	1	1
Q1636310	0	0	0	1
Q1638140	0	0	1	1
Q1638637	0	0	0	1
Q163865	1	0	0	1
Q163905	0	0	0	2
Q1639178	0	0	0	1
Q1640292	0	0	0	1
Q1640324	0	0	1	1
Q1640632	0	0	0	2
Q1640810	0	0	0	1
Q1640860	1	0	2	1
Q1641042	0	0	1	1
Q1641062	0	0	0	1
Q1641132	10	0	3	2
Q1641153	0	0	0	1
Q1641171	0	0	0	1
Q1641328	0	0	0	1
Q1641332	0	0	0	2
Q1641384	0	0	0	1
Q1641399	1	0	0	1
Q1641483	0	0	3	1
Q1641486	0	0	0	1
Q1642040	0	0	0	1
Q1642147	0	0	5	1
Q1642170	0	0	0	1
Q1642206	0	0	0	3
Q164727	0	0	0	1
Q1647794	0	0	2	1
Q1648128	0	0	0	2
Q164818	0	0	0	1
Q16483	0	4	0	2
Q1648484	1	0	0	1
Q16495	0	0	0	1
Q164952	0	0	0	1
Q16499	3	0	3	1
Q16501	3	5	6	1
Q165135	5	0	6	1
Q16525336	0	0	0	1
Q16525339	0	0	0	1
Q16526464	0	0	0	1
Q165328	16	3	2	1
Q16536020	0	0	0	1
Q16536795	0	0	0	1
Q1654860	0	0	0	1
Q16570127	0	0	0	1
Q1658731	1	0	0	0
Q1660341	0	0	0	1
Q166102	0	0	6	1
Q16661734	0	0	1	0
Q16662546	0	0	0	1
Q16662548	0	0	0	1
Q16662551	0	0	0	1
Q16662567	0	0	0	1
Q16678468	0	0	0	1
Q16678480	0	0	7	2
Q16678483	0	0	4	1
Q1668089	0	0	1	0
Q16681405	0	0	2	1
Q166907	0	0	0	1
Q167050	0	0	0	1
Q1671412	0	0	1	3
Q167178	5	0	1	1
Q167264	0	0	0	1
Q16775468	1	0	2	1
Q1678281	0	0	19	1
Q16800561	0	0	0	1
Q16815740	0	0	0	1
Q16831900	0	0	0	1
Q168403	0	23	1	1
Q16874615	0	0	1	2
Q1687472	0	0	0	1
Q1688105	0	0	0	1
Q1688222	0	0	0	2
Q16882760	0	0	1	0
Q16887028	0	0	0	2
Q16889762	0	0	0	1
Q16892594	0	0	0	2
Q16892735	0	0	5	1
Q16905725	0	0	0	2
Q1690779	0	0	36	1
Q16908143	0	0	3	1
Q16909671	0	0	1	2
Q1691351	0	0	6	1
Q16918398	0	0	50	1
Q16918477	0	0	6	1
Q16927422	0	0	1	1
Q16929881	0	0	0	1
Q16934669	0	0	3	1
Q16934832	0	0	0	1
