compound_id	CduftD	CpiwP	CsdiC	C<hpC	C<ioC	Chp>C	Cio>C
Q15628196	0	0	0	0	0	1	0
Q15628197	0	0	0	0	0	1	0
Q15628199	0	0	0	0	0	1	0
Q15628200	0	0	0	0	0	2	0
Q15628201	0	0	0	0	0	1	0
Q15628202	0	0	0	0	0	1	0
Q15628204	0	0	0	0	0	1	0
Q15628205	0	0	0	0	0	1	0
Q15628206	0	0	0	0	0	1	0
Q15628207	0	0	0	0	0	2	0
Q15628212	0	0	0	0	0	2	0
Q15628213	0	0	0	0	0	1	0
Q15628214	0	0	0	0	0	2	0
Q15628215	0	0	0	0	0	2	0
Q15628216	0	0	0	0	0	1	0
Q15628218	0	0	0	0	0	2	0
Q15628219	0	0	0	0	0	1	0
Q15628221	0	0	0	0	0	1	0
Q15628222	0	0	0	0	0	1	0
Q15628223	0	0	0	0	0	1	0
Q15628225	0	0	0	0	0	1	0
Q15628226	0	0	0	0	0	1	0
Q15628227	0	0	0	0	0	1	0
Q15628229	0	0	0	0	0	1	0
Q15628230	0	0	0	0	0	1	0
Q15628231	0	0	0	0	0	2	0
Q15628232	0	0	0	0	0	1	0
Q15628233	0	0	0	0	0	1	0
Q15628235	0	0	0	0	0	1	0
Q15628236	0	0	0	0	0	1	0
Q15628238	0	0	0	0	0	1	0
Q15628241	0	0	0	0	0	1	0
Q15628242	0	0	0	0	0	1	0
Q15628244	0	0	0	0	0	1	0
Q15628282	0	0	0	0	0	1	0
Q15628317	0	0	0	0	0	1	0
Q15628318	0	0	0	0	0	1	0
Q15628319	0	0	0	0	0	1	0
Q15628320	0	0	0	0	0	1	0
Q15628324	0	0	0	0	0	1	0
Q15628325	0	0	0	0	0	1	0
Q15628326	0	0	0	0	0	1	0
Q15628327	0	0	0	0	0	2	0
Q15628328	0	0	0	0	0	1	0
Q15628330	0	0	0	0	0	1	0
Q15628331	0	0	0	0	0	1	0
Q15628332	0	0	0	0	0	1	0
Q15628333	0	0	0	0	0	1	0
Q15628334	0	0	0	0	0	1	0
Q15628335	0	0	0	0	0	2	0
Q15628337	0	0	0	0	0	2	0
Q15628338	0	0	0	0	0	1	0
Q15628340	0	0	0	0	0	1	0
Q15628341	0	0	0	0	0	1	0
Q15628342	0	0	0	0	0	1	0
Q15628344	0	0	0	0	0	1	0
Q15628346	0	0	0	0	0	1	0
Q15628348	0	0	0	0	0	1	0
Q15628349	0	0	0	0	0	1	0
Q15628351	0	0	0	0	0	2	0
Q15628352	0	0	0	0	0	1	0
Q15628354	0	0	0	0	0	1	0
Q15628360	0	0	0	0	0	1	0
Q15628361	0	0	0	0	0	1	0
Q15628362	0	0	0	0	0	1	0
Q15628364	0	0	0	0	0	1	0
Q15628366	0	0	0	0	0	1	0
Q15628367	0	0	0	0	0	1	0
Q15628368	0	0	0	0	0	2	0
Q15628369	0	0	0	0	0	2	0
Q15628372	0	0	0	0	0	1	0
Q15628373	0	0	0	0	0	1	0
Q15628374	0	0	0	0	0	2	0
Q15628375	0	0	0	0	0	1	0
Q15628376	0	0	0	0	0	1	0
Q15628377	0	0	0	0	0	1	0
Q15628378	0	0	0	0	0	1	0
Q15628379	0	0	0	0	0	1	0
Q15628380	0	0	0	0	0	1	0
Q15628381	0	0	0	0	0	1	0
Q15628382	0	0	0	0	0	1	0
Q15628384	0	0	0	0	0	1	0
Q15628385	0	0	0	0	0	2	0
Q15628388	0	0	0	0	0	2	0
Q15628389	0	0	0	0	0	2	0
Q15628391	0	0	0	0	0	1	0
Q15628406	0	0	0	0	0	1	0
Q15628409	0	0	0	0	0	1	0
Q15628434	0	0	0	0	0	1	0
Q15628438	0	0	0	0	0	1	0
Q15628439	0	0	0	0	0	1	0
Q15629418	0	0	0	0	0	1	0
Q15629419	0	0	0	0	0	1	0
Q15630020	0	0	0	0	0	1	0
Q15630566	0	0	0	0	0	1	0
Q15630567	0	0	0	0	0	1	0
Q15632694	0	0	0	0	0	1	0
Q15632835	0	0	0	0	0	1	0
Q15632856	0	0	0	0	0	1	0
Q15632880	0	0	0	0	0	1	0
Q15633917	0	1	0	0	0	0	0
Q15633958	0	1	0	0	0	0	0
Q15633960	0	2	0	0	0	0	0
Q15633971	0	3	0	0	0	0	0
Q15633976	0	1	0	0	0	0	0
Q15634018	0	2	0	0	0	0	0
Q15634053	0	5	0	0	0	0	0
Q15634074	0	1	0	0	0	0	0
Q15634078	0	6	0	0	0	0	0
Q15634080	0	1	0	0	0	0	0
Q15634085	0	2	0	0	0	0	0
Q15634124	0	3	0	0	0	0	0
Q15634130	0	1	0	0	0	0	0
Q15634204	0	0	0	0	0	2	0
Q15643847	0	0	0	0	0	1	0
Q15643857	0	0	0	0	0	1	0
Q15646788	5	0	0	0	0	0	0
Q15708269	0	1	0	0	0	0	0
Q15708271	0	1	0	0	0	0	0
Q15708292	0	3	0	0	0	0	0
Q15708331	0	1	0	0	0	0	0
Q15708403	1	0	0	0	0	0	0
Q15709005	1	0	0	0	0	0	0
Q15723091	0	4	0	0	0	0	0
Q15725524	0	0	0	0	0	1	0
Q15725525	0	0	0	0	0	1	0
Q15725526	0	0	0	0	0	1	0
Q15725527	0	0	0	0	0	1	0
Q15725535	0	0	0	0	0	1	0
Q15725536	0	0	0	0	0	1	0
Q15725537	0	0	0	0	0	2	0
Q15725538	0	0	0	0	0	1	0
Q15725539	0	0	0	0	0	1	0
Q15725540	0	0	0	0	0	2	0
Q15725543	0	0	0	0	0	1	0
Q15725544	0	0	0	0	0	1	0
Q15725545	0	0	0	0	0	1	0
Q15725546	0	0	0	0	0	1	0
Q15725551	0	0	0	0	0	1	0
Q15725552	0	0	0	0	0	1	0
Q15725556	0	0	0	0	0	1	0
Q15726033	0	0	0	0	0	0	1
Q15726036	0	0	0	0	0	1	0
Q15726037	0	0	0	0	0	1	0
Q15730236	0	0	0	0	0	1	0
Q15730270	0	0	0	0	0	1	0
Q158348	1	0	0	0	0	0	0
Q15845715	0	0	0	0	0	1	0
Q1588691	0	0	0	0	0	1	0
Q159096	0	0	0	0	0	0	1
Q15915537	0	0	0	0	0	1	0
Q1592932	1	0	0	0	0	0	0
Q15963793	0	0	0	0	0	1	0
Q15966013	0	0	0	0	0	1	0
Q159683	0	1	0	0	0	0	0
Q15971308	0	0	0	0	0	1	0
Q15989037	0	1	0	0	0	0	0
Q15992714	0	0	0	0	0	1	0
Q15993180	0	0	0	0	0	2	0
Q16062374	0	0	0	0	0	1	0
Q161210	1	0	0	0	0	0	0
Q161249	2	0	0	0	0	0	0
Q161292	0	0	0	0	2	0	0
Q161459	0	0	0	0	3	0	0
Q161475	0	0	0	0	2	0	0
Q161666	0	20	0	0	0	0	0
Q162867	5	0	0	0	0	0	0
Q1631815	0	0	0	0	0	1	0
Q1636041	0	0	0	0	2	0	0
Q1638852	5	0	0	0	0	0	0
Q163901	6	0	0	0	0	0	0
Q1639588	1	0	0	0	0	0	0
Q1639595	2	0	0	0	0	0	0
Q1639616	4	0	0	0	0	0	0
Q1640947	0	1	0	0	0	0	0
Q1644947	2	0	0	0	0	0	0
Q164785	0	1	0	0	0	0	0
Q1649219	1	0	5	0	0	0	0
Q16524831	0	0	0	0	0	1	0
Q16524834	0	0	0	0	0	1	0
Q16524837	0	0	0	0	0	1	0
Q16524916	0	0	0	0	0	1	0
Q1652677	0	0	0	0	0	0	1
Q16533005	0	0	0	0	0	1	0
Q16534040	0	0	0	0	0	1	0
Q16534043	0	0	0	0	0	2	0
Q165399	8	1	37	0	0	0	0
Q165930	0	1	0	0	0	0	0
Q16626311	0	0	0	0	0	1	0
Q16626316	0	0	0	0	0	1	0
Q16628040	0	0	0	0	0	1	0
Q16635963	0	0	0	0	0	1	0
Q16635969	0	0	0	0	0	1	0
Q16635972	0	0	0	0	0	1	0
Q16635981	0	0	0	0	0	1	0
Q16635985	0	0	0	0	0	1	0
Q16635993	0	0	0	0	0	1	0
Q16635996	0	0	0	0	0	2	0
Q16635998	0	0	0	0	0	1	0
Q16636009	0	0	0	0	0	1	0
Q16636240	0	0	0	0	0	1	0
Q16636709	0	0	0	0	0	1	0
Q16636743	0	0	0	0	0	1	0
Q16644081	0	0	0	0	0	1	0
Q16644176	0	0	0	0	0	1	0
Q16644455	0	0	0	0	0	1	0
Q16644576	0	0	0	0	0	1	0
Q16644597	0	0	0	0	0	1	0
Q16644625	0	0	0	0	0	1	0
Q16644632	0	0	0	0	0	1	0
Q166476	0	5	0	0	0	0	0
Q16655234	0	0	0	0	0	1	0
Q16661875	0	0	0	0	0	1	0
Q16676035	0	0	0	0	0	1	0
Q16676068	0	0	0	0	0	2	0
Q16677449	0	0	0	0	0	1	0
Q16677451	0	0	0	0	0	1	0
Q16681086	0	0	0	0	0	1	0
Q166825	0	1	0	0	0	0	0
Q16682750	0	0	0	0	0	2	0
Q16682758	0	0	0	0	0	1	0
Q16682765	0	0	0	0	0	1	0
Q16682856	0	0	0	0	0	1	0
Q16683482	0	0	0	0	0	2	0
Q16684408	0	0	0	0	0	1	0
Q16685889	0	0	0	0	0	1	0
Q16686574	0	0	0	0	0	1	0
Q16695987	0	0	0	0	0	2	0
Q16695989	0	0	0	0	0	1	0
Q16695999	0	0	0	0	0	2	0
Q16696003	0	0	0	0	0	1	0
Q16697617	0	0	0	0	0	1	0
Q16697633	0	0	0	0	0	2	0
Q16701694	0	0	0	0	0	2	0
Q16701696	0	0	0	0	0	1	0
Q16703007	0	0	0	0	0	1	0
Q16703259	0	0	0	0	0	1	0
Q16704573	0	0	0	0	0	1	0
Q16705319	0	0	0	0	0	2	0
Q16705321	0	0	0	0	0	1	0
Q16705323	0	0	0	0	0	2	0
Q16705822	0	0	0	0	0	1	0
Q16705824	0	0	0	0	0	1	0
Q16705832	0	0	0	0	0	1	0
Q16705840	0	0	0	0	0	1	0
Q16705844	0	0	0	0	0	1	0
Q16705858	0	0	0	0	0	1	0
Q16706145	0	0	0	0	0	1	0
Q16706149	0	0	0	0	0	1	0
Q16706905	0	0	0	0	0	1	0
Q16707472	0	0	0	0	0	1	0
Q16707512	0	0	0	0	0	1	0
Q16707514	0	0	0	0	0	1	0
Q16707516	0	0	0	0	0	1	0
Q16712469	0	0	0	0	0	1	0
Q16712471	0	0	0	0	0	1	0
Q16712479	0	0	0	0	0	1	0
Q16712736	0	0	0	0	0	1	0
Q16712740	0	0	0	0	0	1	0
Q16712744	0	0	0	0	0	1	0
Q16712746	0	0	0	0	0	1	0
Q16712756	0	0	0	0	0	1	0
Q16712763	0	0	0	0	0	1	0
Q16714115	0	0	0	0	0	1	0
Q16714127	0	0	0	0	0	1	0
Q16715938	0	0	0	0	0	1	0
Q16715944	0	0	0	0	0	1	0
Q16715969	0	0	0	0	0	1	0
Q1672108	1	0	0	0	0	0	0
Q16735664	0	0	0	0	0	1	0
Q16735995	0	0	0	0	0	1	0
Q16735996	0	0	0	0	0	1	0
Q16735997	0	0	0	0	0	1	0
Q16735998	0	0	0	0	0	1	0
Q16736808	0	0	0	0	0	1	0
Q16736816	0	0	0	0	0	1	0
Q16736825	0	0	0	0	0	1	0
Q16736830	0	0	0	0	0	1	0
Q167934	0	16	0	0	0	0	0
Q16829635	0	4	0	0	0	0	0
Q16854882	0	0	0	0	0	1	0
Q16854883	0	0	0	0	0	1	0
Q16854884	0	0	0	0	0	1	0
Q16856203	0	4	0	0	0	0	0
Q16868421	0	1	0	0	0	0	0
Q16913015	0	0	0	0	0	1	0
Q16913036	0	0	0	0	0	1	0
Q16913041	0	0	0	0	0	1	0
Q169569	6	0	1	0	0	0	0
Q169960	1	4	0	0	0	0	0
Q170304	1	6	0	0	0	0	0
Q170545	0	1	0	0	0	0	0
Q17057130	0	0	0	0	0	1	0
Q17057440	0	0	0	0	0	1	0
Q1706418	2	3	5	1	0	0	0
Q17123902	0	1	0	0	0	0	0
Q17130597	0	3	0	0	0	0	0
Q171877	0	1	0	0	0	0	0
