hetnet	feature	nonzero	auroc	auprc	feature_type	permuted
wikidata-v0.1_perm-1	C<hpCio>CduftD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-2	C<hpCio>CduftD	0	0.5	0.55069	dwpc	1
wikidata-v0.1_perm-3	C<hpCio>CduftD	0	0.5	0.55067	dwpc	1
wikidata-v0.1_perm-4	C<hpCio>CduftD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-5	C<hpCio>CduftD	0	0.5	0.55076	dwpc	1
wikidata-v0.1	C<hpCio>CduftD<soD	0	0.5	0.6	dwpc	0
wikidata-v0.1_perm-1	C<hpCio>CduftD<soD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-2	C<hpCio>CduftD<soD	0	0.5	0.55069	dwpc	1
wikidata-v0.1_perm-3	C<hpCio>CduftD<soD	0	0.5	0.55067	dwpc	1
wikidata-v0.1_perm-4	C<hpCio>CduftD<soD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-5	C<hpCio>CduftD<soD	0	0.5	0.55076	dwpc	1
wikidata-v0.1	C<hpCio>CduftDso>D	0	0.5	0.6	dwpc	0
wikidata-v0.1_perm-1	C<hpCio>CduftDso>D	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-2	C<hpCio>CduftDso>D	0	0.5	0.55069	dwpc	1
wikidata-v0.1_perm-3	C<hpCio>CduftDso>D	0	0.5	0.55067	dwpc	1
wikidata-v0.1_perm-4	C<hpCio>CduftDso>D	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-5	C<hpCio>CduftDso>D	0	0.5	0.55076	dwpc	1
wikidata-v0.1	C<hpCio>Chp>CduftD	0	0.5	0.6	dwpc	0
wikidata-v0.1_perm-1	C<hpCio>Chp>CduftD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-2	C<hpCio>Chp>CduftD	0	0.5	0.55069	dwpc	1
wikidata-v0.1_perm-3	C<hpCio>Chp>CduftD	0	0.5	0.55067	dwpc	1
