compound_treats	disease_treats	prior_perm	prior_perm_stderr	n_treatments	n_possible
4	2	0.00267736	6.04867e-07	29	9312
4	3	0.00401754	8.9922e-07	30	6336
4	4	0.0053617	1.33989e-06	21	3840
4	5	0.00670548	1.8333e-06	15	2592
4	6	0.00805009	1.95622e-06	15	2688
4	7	0.00939494	2.51633e-06	15	1920
4	8	0.0107402	2.67747e-06	26	1920
4	9	0.0120956	4.29864e-06	13	864
4	10	0.0134488	4.07337e-06	18	1056
4	11	0.0147844	1.01614e-05	5	192
4	12	0.0161529	6.66564e-06	11	480
4	13	0.0174866	6.93423e-06	5	480
4	14	0.0188492	5.30025e-06	20	864
4	15	0.020223	6.77959e-06	9	576
4	16	0.0215722	8.58644e-06	8	384
4	17	0.0229317	6.18194e-06	14	768
4	18	0.024283	1.29418e-05	4	192
4	19	0.0256386	1.08126e-05	5	288
4	20	0.0270037	9.55516e-06	8	384
4	21	0.0283795	1.98164e-05	3	96
4	22	0.0297133	1.42579e-05	6	192
4	24	0.0324837	2.11372e-05	5	96
4	25	0.0338024	2.15616e-05	6	96
4	26	0.0351715	2.20015e-05	3	96
4	27	0.0365696	1.57364e-05	6	192
4	34	0.0461925	1.75994e-05	9	192
4	38	0.0516848	2.63832e-05	4	96
4	39	0.0530494	2.67177e-05	6	96
4	50	0.0683104	3.0043e-05	6	96
4	55	0.0751958	3.14113e-05	6	96
4	57	0.0779701	3.19222e-05	5	96
4	61	0.0835379	3.29324e-05	11	96
4	82	0.112927	3.76589e-05	12	96
5	1	0.00168175	4.09599e-07	22	13122
5	2	0.00336324	9.23632e-07	21	5238
5	3	0.00504632	1.36999e-06	17	3564
5	4	0.00673205	2.04585e-06	12	2160
5	5	0.00841353	2.79658e-06	8	1458
5	6	0.0101006	2.98441e-06	22	1512
5	7	0.0117913	3.83679e-06	16	1080
5	8	0.0134707	4.07789e-06	15	1080
5	9	0.0151448	6.53507e-06	5	486
5	10	0.0168399	6.1907e-06	6	594
5	11	0.0185298	1.54769e-05	0	108
5	12	0.0202274	1.01692e-05	5	270
5	13	0.0218926	1.05367e-05	4	270
5	14	0.0236019	8.071e-06	13	486
5	15	0.0252868	1.02772e-05	6	324
5	16	0.0269675	1.30613e-05	9	216
5	17	0.0286588	9.40166e-06	14	432
5	18	0.030342	1.96593e-05	4	108
5	19	0.0320368	1.64269e-05	3	162
5	20	0.0337148	1.45386e-05	5	216
5	21	0.0354529	3.00604e-05	0	54
5	22	0.0371066	2.16732e-05	7	108
5	24	0.0404553	3.20219e-05	5	54
5	25	0.0421415	3.26345e-05	3	54
5	26	0.043857	3.32909e-05	1	54
5	27	0.0455507	2.38463e-05	7	108
5	34	0.0573412	2.66019e-05	7	108
5	38	0.0641031	3.97697e-05	2	54
5	39	0.0657009	4.02313e-05	3	54
5	50	0.0842897	4.51466e-05	4	54
5	55	0.0926844	4.71888e-05	6	54
5	57	0.0960915	4.79685e-05	4	54
5	61	0.102826	4.94027e-05	6	54
5	82	0.137805	5.60745e-05	8	54
6	1	0.00202846	5.40345e-07	21	9234
6	2	0.00405784	1.21818e-06	14	3686
